Dist Code,Year,State Code,State Name,Dist Name,RICE IRRIGATED AREA (1000 ha),WHEAT IRRIGATED AREA (1000 ha),GROUNDNUT IRRIGATED AREA (1000 ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON IRRIGATED AREA (1000 ha)
7,1966,6,Madhya Pradesh,Jabalpur,8.2,1.2,0,0.2,0
7,1967,6,Madhya Pradesh,Jabalpur,8.7,1.5,0,0.3,0
7,1968,6,Madhya Pradesh,Jabalpur,10.7,3.8,0,0.3,0
7,1969,6,Madhya Pradesh,Jabalpur,12.7,5.9,0,0.4,0
7,1970,6,Madhya Pradesh,Jabalpur,11.6,8.3,0,0.4,0
7,1971,6,Madhya Pradesh,Jabalpur,12.5,13.2,0,0.4,0
7,1972,6,Madhya Pradesh,Jabalpur,11.4,12.9,0,0.4,0
7,1973,6,Madhya Pradesh,Jabalpur,5.1,16.2,0,0.4,0
7,1974,6,Madhya Pradesh,Jabalpur,10.1,13.9,0,0.4,0
7,1975,6,Madhya Pradesh,Jabalpur,9.5,22.9,0,0.4,0
7,1976,6,Madhya Pradesh,Jabalpur,10.7,20.4,0,0.3,0
7,1977,6,Madhya Pradesh,Jabalpur,8.7,18.2,0,0.3,0
7,1978,6,Madhya Pradesh,Jabalpur,11,19,0,0.3,0
7,1979,6,Madhya Pradesh,Jabalpur,6.3,11.7,0,0.2,0
7,1980,6,Madhya Pradesh,Jabalpur,9.3,23.9,0,0.1,0
7,1981,6,Madhya Pradesh,Jabalpur,9,17.1,0,0.2,0
7,1982,6,Madhya Pradesh,Jabalpur,9.7,23.3,0,0.2,0
7,1983,6,Madhya Pradesh,Jabalpur,9.3,25.8,0,0.2,0
7,1984,6,Madhya Pradesh,Jabalpur,10.2,28.8,0,0.2,0
7,1985,6,Madhya Pradesh,Jabalpur,10.4,31.2,0,0.2,0
7,1986,6,Madhya Pradesh,Jabalpur,8.2,26.8,0,0.2,0
7,1987,6,Madhya Pradesh,Jabalpur,8.3,39.6,0,0.2,0
7,1988,6,Madhya Pradesh,Jabalpur,10.9,39.5,0,0.1,0
7,1989,6,Madhya Pradesh,Jabalpur,9.2,39.6,0,0.1,0
7,1990,6,Madhya Pradesh,Jabalpur,4.05,54.72,-1,-1,-1
7,1991,6,Madhya Pradesh,Jabalpur,11.04,60.74,-1,-1,-1
7,1992,6,Madhya Pradesh,Jabalpur,12.13,74.58,-1,-1,-1
7,1993,6,Madhya Pradesh,Jabalpur,10.98,84.68,-1,-1,-1
7,1994,6,Madhya Pradesh,Jabalpur,9.86,84.89,-1,-1,-1
7,1995,6,Madhya Pradesh,Jabalpur,10.8,80.76,-1,-1,-1
7,1996,6,Madhya Pradesh,Jabalpur,12,90.62,-1,-1,-1
7,1997,6,Madhya Pradesh,Jabalpur,8.82,87.79,-1,-1,-1
7,1998,6,Madhya Pradesh,Jabalpur,18.61,100.39,0,0.17,0
7,1999,6,Madhya Pradesh,Jabalpur,10.59,107.13,0,0.19,0
7,2000,6,Madhya Pradesh,Jabalpur,11.77,100.37,0,0.26,0
7,2001,6,Madhya Pradesh,Jabalpur,13.24,104.06,0,0.34,0
7,2002,6,Madhya Pradesh,Jabalpur,19.62,99.37,0,0.35,0
7,2003,6,Madhya Pradesh,Jabalpur,13.25,105.84,0,0.34,0
7,2004,6,Madhya Pradesh,Jabalpur,13.73,108.65,0,0.38,0
7,2005,6,Madhya Pradesh,Jabalpur,12.63,112.03,0,0.96,0
7,2006,6,Madhya Pradesh,Jabalpur,14.15,104.7,0,1.8,0
7,2007,6,Madhya Pradesh,Jabalpur,13.48,100.25,0,1.66,0
7,2008,6,Madhya Pradesh,Jabalpur,16.61,125.23,0,1.19,0
7,2009,6,Madhya Pradesh,Jabalpur,9.75,132.87,0,1.1,0
7,2010,6,Madhya Pradesh,Jabalpur,17.69,136.77,0,1.14,0
7,2011,6,Madhya Pradesh,Jabalpur,21.46,158.43,0.11,0.97,0
7,2012,6,Madhya Pradesh,Jabalpur,46.7,180.3,0,1.13,0
7,2013,6,Madhya Pradesh,Jabalpur,45.11,204.71,0,1.51,0
7,2014,6,Madhya Pradesh,Jabalpur,57.2,228.05,0,2.17,0
7,2015,6,Madhya Pradesh,Jabalpur,68.11,226.5,0,2.62,0
7,2016,6,Madhya Pradesh,Jabalpur,88.36,225.52,0,2.94,0
7,2017,6,Madhya Pradesh,Jabalpur,122.26,258.57,0,3.49,0
7,2018,6,Madhya Pradesh,Jabalpur,178.825,350.358,0,1.871,0
7,2019,6,Madhya Pradesh,Jabalpur,195.284,367.794,0,2.172,0
7,2020,6,Madhya Pradesh,Jabalpur,309.478,406.39,0.036,1.91,0.008
8,1966,6,Madhya Pradesh,Balaghat,90.1,0.4,0,1.4,0
8,1967,6,Madhya Pradesh,Balaghat,91.3,0.3,0,1.6,0
8,1968,6,Madhya Pradesh,Balaghat,97.8,0.4,0,2.4,0
8,1969,6,Madhya Pradesh,Balaghat,99.5,0.5,0,1.3,0
8,1970,6,Madhya Pradesh,Balaghat,100.9,0.6,0,2.1,0
8,1971,6,Madhya Pradesh,Balaghat,102.2,0.8,0,2,0
8,1972,6,Madhya Pradesh,Balaghat,98.4,1.1,0,2.1,0
8,1973,6,Madhya Pradesh,Balaghat,96,3.4,0,2.1,0
8,1974,6,Madhya Pradesh,Balaghat,102.3,3.8,0,2.3,0
8,1975,6,Madhya Pradesh,Balaghat,104.6,7.9,0,2.5,0
8,1976,6,Madhya Pradesh,Balaghat,104.9,6.8,0,2.3,0
8,1977,6,Madhya Pradesh,Balaghat,107.2,7.8,0,3.1,0
8,1978,6,Madhya Pradesh,Balaghat,109,8,0,5,0
8,1979,6,Madhya Pradesh,Balaghat,102.8,3.5,0,4.7,0
8,1980,6,Madhya Pradesh,Balaghat,107.1,5.9,0,2.2,0
8,1981,6,Madhya Pradesh,Balaghat,109.2,6.5,0,2.4,0
8,1982,6,Madhya Pradesh,Balaghat,110.2,6.2,0,2,0
8,1983,6,Madhya Pradesh,Balaghat,111.8,7.1,0,2,0
8,1984,6,Madhya Pradesh,Balaghat,111.3,5.8,0,2.3,0
8,1985,6,Madhya Pradesh,Balaghat,114.1,8.2,0,2.2,0
8,1986,6,Madhya Pradesh,Balaghat,119,7.9,0,2.2,0
8,1987,6,Madhya Pradesh,Balaghat,107.4,6.8,0,2.1,0
8,1988,6,Madhya Pradesh,Balaghat,119.9,8.3,0,2.2,0
8,1989,6,Madhya Pradesh,Balaghat,118.1,7.8,0,2.5,0
8,1990,6,Madhya Pradesh,Balaghat,119.45,9.02,-1,2.72,0
8,1991,6,Madhya Pradesh,Balaghat,116.45,6.6,0.02,2.25,0
8,1992,6,Madhya Pradesh,Balaghat,119.65,7.01,0.01,2.01,0
8,1993,6,Madhya Pradesh,Balaghat,122.36,9.4,0.02,1.74,0
8,1994,6,Madhya Pradesh,Balaghat,123.83,12.17,0.08,1.74,0
8,1995,6,Madhya Pradesh,Balaghat,124.25,10.83,0.07,1.96,0
8,1996,6,Madhya Pradesh,Balaghat,120.24,8.11,0.01,1.99,0
8,1997,6,Madhya Pradesh,Balaghat,123.71,5.68,0.08,1.77,0
8,1998,6,Madhya Pradesh,Balaghat,118.25,6.79,0.1,1.72,0
8,1999,6,Madhya Pradesh,Balaghat,129.64,9.38,0.11,2.14,0
8,2000,6,Madhya Pradesh,Balaghat,124.91,6.5,0.1,1.77,0
8,2001,6,Madhya Pradesh,Balaghat,128.68,8.62,0.1,1.74,0
8,2002,6,Madhya Pradesh,Balaghat,125,8.88,0.26,2.23,0
8,2003,6,Madhya Pradesh,Balaghat,128.23,9.35,0,1.61,0
8,2004,6,Madhya Pradesh,Balaghat,109.61,5.81,0.03,1.51,0
8,2005,6,Madhya Pradesh,Balaghat,126.22,10.24,0.35,1.6,0
8,2006,6,Madhya Pradesh,Balaghat,127.29,8.98,0.4,1.69,0
8,2007,6,Madhya Pradesh,Balaghat,128.72,8.58,0.4,1.77,0
8,2008,6,Madhya Pradesh,Balaghat,130.81,9.36,0.49,1.65,0
8,2009,6,Madhya Pradesh,Balaghat,130.82,8.8,0.78,1.61,0
8,2010,6,Madhya Pradesh,Balaghat,132.15,10.07,0.79,1.68,0
8,2011,6,Madhya Pradesh,Balaghat,141.89,11.08,0.74,1.65,0
8,2012,6,Madhya Pradesh,Balaghat,145.87,12.75,0.68,1.6,0
8,2013,6,Madhya Pradesh,Balaghat,144.57,12.08,0.61,1.85,0
8,2014,6,Madhya Pradesh,Balaghat,151.85,9.06,0.51,1.35,0
8,2015,6,Madhya Pradesh,Balaghat,156.92,8.48,0.4,1.67,0
8,2016,6,Madhya Pradesh,Balaghat,159.27,10.21,0.39,1.77,0
8,2017,6,Madhya Pradesh,Balaghat,150.87,10.84,0.34,2.36,0
8,2018,6,Madhya Pradesh,Balaghat,151.354,13.715,0.341,2.255,0
8,2019,6,Madhya Pradesh,Balaghat,168.912,58.741,0.132,1.927,0
8,2020,6,Madhya Pradesh,Balaghat,227.973,64.815,0.041,5.149,0
9,1966,6,Madhya Pradesh,Chhindwara,0,4.4,0,2.1,0.2
9,1967,6,Madhya Pradesh,Chhindwara,0,5.4,0,1.9,0.3
9,1968,6,Madhya Pradesh,Chhindwara,0.1,7,0,2.4,0.3
9,1969,6,Madhya Pradesh,Chhindwara,0,8.9,0,2.7,0.4
9,1970,6,Madhya Pradesh,Chhindwara,0,11.5,0,2.5,0.5
9,1971,6,Madhya Pradesh,Chhindwara,0,14.2,0,2.8,0.4
9,1972,6,Madhya Pradesh,Chhindwara,0,14.4,0,2.7,0.4
9,1973,6,Madhya Pradesh,Chhindwara,0,15.4,0,2.1,0.2
9,1974,6,Madhya Pradesh,Chhindwara,0,15.2,0,2.8,0.2
9,1975,6,Madhya Pradesh,Chhindwara,0,18.2,0,3.5,0.1
9,1976,6,Madhya Pradesh,Chhindwara,0,18,0,3.9,0.2
9,1977,6,Madhya Pradesh,Chhindwara,0,19.4,0,4.4,0.2
9,1978,6,Madhya Pradesh,Chhindwara,0,19,0,10,0.3
9,1979,6,Madhya Pradesh,Chhindwara,0,21.2,0,10.5,0.6
9,1980,6,Madhya Pradesh,Chhindwara,0,21,0,9.6,1
9,1981,6,Madhya Pradesh,Chhindwara,0,24.3,0,9.2,1
9,1982,6,Madhya Pradesh,Chhindwara,0,25,0,8.6,0.7
9,1983,6,Madhya Pradesh,Chhindwara,0,30.9,0,8,0.7
9,1984,6,Madhya Pradesh,Chhindwara,0,34.9,0,7.5,0.8
9,1985,6,Madhya Pradesh,Chhindwara,0,36,0,7.7,0.7
9,1986,6,Madhya Pradesh,Chhindwara,0,34.7,0,8.1,0.3
9,1987,6,Madhya Pradesh,Chhindwara,0,32.2,0.1,8.5,0.2
9,1988,6,Madhya Pradesh,Chhindwara,0,36,0.1,8.6,0.2
9,1989,6,Madhya Pradesh,Chhindwara,0,34.8,0.1,7.4,0.3
9,1990,6,Madhya Pradesh,Chhindwara,0.01,43.78,-1,6.48,0.23
9,1991,6,Madhya Pradesh,Chhindwara,0.01,37.96,0.33,5.3,0.22
9,1992,6,Madhya Pradesh,Chhindwara,0,41.19,0.25,4.14,0.2
9,1993,6,Madhya Pradesh,Chhindwara,0,58.38,0.31,4.38,0.21
9,1994,6,Madhya Pradesh,Chhindwara,0,68.16,0.29,7.09,0.41
9,1995,6,Madhya Pradesh,Chhindwara,0,66.66,0.45,8.43,0.55
9,1996,6,Madhya Pradesh,Chhindwara,0,66.62,0.47,8.92,0.76
9,1997,6,Madhya Pradesh,Chhindwara,0,67.4,0.61,10.71,0.65
9,1998,6,Madhya Pradesh,Chhindwara,0.72,77.79,0.75,13.9,0.92
9,1999,6,Madhya Pradesh,Chhindwara,0,81.92,1.04,15.59,2.65
9,2000,6,Madhya Pradesh,Chhindwara,0.01,51.44,0.47,12.9,1.84
9,2001,6,Madhya Pradesh,Chhindwara,0,46.72,0.2,11.55,1.91
9,2002,6,Madhya Pradesh,Chhindwara,0,56.56,0.08,11.87,0.84
9,2003,6,Madhya Pradesh,Chhindwara,0,69.55,0.17,12.45,1.67
9,2004,6,Madhya Pradesh,Chhindwara,0,70.74,0.03,12.56,1.54
9,2005,6,Madhya Pradesh,Chhindwara,0,77.38,0.04,14.11,2.29
9,2006,6,Madhya Pradesh,Chhindwara,0,91.33,0,14.69,1.93
9,2007,6,Madhya Pradesh,Chhindwara,0,98.07,0.07,12.6,1.56
9,2008,6,Madhya Pradesh,Chhindwara,0,77.68,0.08,10.54,1.41
9,2009,6,Madhya Pradesh,Chhindwara,0,97.48,0.04,10.82,1.52
9,2010,6,Madhya Pradesh,Chhindwara,0,100.79,0.04,11.8,1.64
