Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON YIELD (Kg per ha)
7,1966,6,Madhya Pradesh,Jabalpur,119,176.47,84,464.29,0.1,1000,0.4,1750,0.1,0
7,1967,6,Madhya Pradesh,Jabalpur,120,558.33,133,533.83,0.2,1000,0.4,1750,0.2,0
7,1968,6,Madhya Pradesh,Jabalpur,124,362.9,128.8,496.89,0.3,666.67,0.5,1800,0,0
7,1969,6,Madhya Pradesh,Jabalpur,127.9,487.1,141.7,540.58,0.3,666.67,0.5,2200,0,0
7,1970,6,Madhya Pradesh,Jabalpur,126.8,650.63,150.2,667.78,0.4,750,0.6,1833.33,0,0
7,1971,6,Madhya Pradesh,Jabalpur,129.3,715.39,164.3,627.51,0.7,714.29,0.6,4333.33,0,0
7,1972,6,Madhya Pradesh,Jabalpur,129.6,439.81,160.4,586.03,0.4,1000,0.6,1833.33,0,0
7,1973,6,Madhya Pradesh,Jabalpur,118.4,531.25,152.9,761.28,0.4,750,0.6,1833.33,0,0
7,1974,6,Madhya Pradesh,Jabalpur,118.4,326.01,128,528.13,0.6,666.67,0.6,2000,0,0
7,1975,6,Madhya Pradesh,Jabalpur,123.3,759.12,159.2,783.29,0.5,1000,0.5,2600,0,0
7,1976,6,Madhya Pradesh,Jabalpur,126.6,487.36,139.9,437.46,0.3,666.67,0.5,2400,0,0
7,1977,6,Madhya Pradesh,Jabalpur,129.9,900.69,168,577.98,0.2,500,0.3,2666.67,0,0
7,1978,6,Madhya Pradesh,Jabalpur,135.8,701.03,180.8,687.5,0.1,1000,0.3,2000,0,0
7,1979,6,Madhya Pradesh,Jabalpur,134.7,12.62,123.2,370.13,0.1,2000,0.3,1666.67,0,0
7,1980,6,Madhya Pradesh,Jabalpur,132.2,500,184.7,783.43,0.1,2000,0.2,2000,0,0
7,1981,6,Madhya Pradesh,Jabalpur,127.9,336.2,146.2,513,0.1,1000,0.2,2000,0,0
7,1982,6,Madhya Pradesh,Jabalpur,114.6,479.93,139.5,713.98,0.1,1000,0.2,2500,0,0
7,1983,6,Madhya Pradesh,Jabalpur,125.9,671.96,165.2,1098.06,0.1,1000,0.4,2500,0,0
7,1984,6,Madhya Pradesh,Jabalpur,125.9,342.34,159.5,784.33,0,0,0.2,2000,0,0
7,1985,6,Madhya Pradesh,Jabalpur,133.6,761.98,183.4,704.47,0,0,0.1,3000,0,0
7,1986,6,Madhya Pradesh,Jabalpur,127,188.98,121,661.16,0,0,0.1,2000,0,0
7,1987,6,Madhya Pradesh,Jabalpur,113,601.77,156,935.9,0,0,0.1,3000,0,0
7,1988,6,Madhya Pradesh,Jabalpur,132,596.97,154.8,1043.28,0,0,0.1,2000,0,0
7,1989,6,Madhya Pradesh,Jabalpur,126,467.46,127.4,893.25,0,0,0.1,3000,0,0
7,1990,6,Madhya Pradesh,Jabalpur,135.5,825.09,166.3,1009.62,0,0,0.07,2857.14,0,0
7,1991,6,Madhya Pradesh,Jabalpur,138.4,541.91,143.5,933.8,0,0,0.09,2222.22,0,0
7,1992,6,Madhya Pradesh,Jabalpur,144.8,658.84,161.2,1209.06,0,0,0.07,1428.57,0,0
7,1993,6,Madhya Pradesh,Jabalpur,147.3,680.24,170.7,1173.99,0,0,0.06,1666.67,0,0
7,1994,6,Madhya Pradesh,Jabalpur,149,758.39,165.6,1301.33,0,0,0.1,1000,0,0
7,1995,6,Madhya Pradesh,Jabalpur,152.4,738.85,149.3,1219.02,0,0,0,0,0,0
7,1996,6,Madhya Pradesh,Jabalpur,153.2,563.32,144.2,1154.65,0,0,0.1,1000,0,0
7,1997,6,Madhya Pradesh,Jabalpur,161.8,532.76,185.8,910.12,0,0,0.08,2500,0,0
7,1998,6,Madhya Pradesh,Jabalpur,56.1,513.37,186.34,732.53,0.1,1000,0.14,1285.71,0,0
7,1999,6,Madhya Pradesh,Jabalpur,164.7,1052.82,188.5,1344.3,0.2,1000,0.1,2000,0,0
7,2000,6,Madhya Pradesh,Jabalpur,164.3,438.22,154.3,1269.6,0.1,1000,0.1,3000,0,0
7,2001,6,Madhya Pradesh,Jabalpur,172.7,839.03,159.1,1385.92,0.1,1000,0.1,4000,0,0
7,2002,6,Madhya Pradesh,Jabalpur,170.1,567.31,148.9,1141.71,0.1,1000,0.2,2500,0,0
7,2003,6,Madhya Pradesh,Jabalpur,178.2,978.11,157.2,1534.35,0.1,1000,0.1,4000,0,0
7,2004,6,Madhya Pradesh,Jabalpur,180.52,901.95,156.45,1480.92,0.12,1500,0.39,1692.31,0,0
7,2005,6,Madhya Pradesh,Jabalpur,168.96,863.52,156.55,1633.09,0.11,1272.73,0.98,1224.49,0,0
7,2006,6,Madhya Pradesh,Jabalpur,173.4,598.1,144.1,1570.78,0.11,1000,1.82,1098.9,0,0
7,2007,6,Madhya Pradesh,Jabalpur,153.8,347.98,130.4,1274.54,0.1,1000,1.2,2416.67,0,0
7,2008,6,Madhya Pradesh,Jabalpur,173.3,598.33,157.7,1558.66,0.1,1000,0.5,2600,0,0
7,2009,6,Madhya Pradesh,Jabalpur,135.2,582.84,162,1416.05,0.1,1000,0.7,2571.43,0,0
7,2010,6,Madhya Pradesh,Jabalpur,151.1,1025.81,162.7,2086.66,0,0,0.4,2750,0,0
7,2011,6,Madhya Pradesh,Jabalpur,157.6,1297.59,166,2298.8,0.1,1000,0.5,2600,0,0
7,2012,6,Madhya Pradesh,Jabalpur,182.13,1608.25,201.13,2779.79,0.18,2055.56,0.23,2956.52,0,0
7,2013,6,Madhya Pradesh,Jabalpur,188.69,1931,218.66,2500.64,0.19,1631.58,0.9,3077.78,0,0
7,2014,6,Madhya Pradesh,Jabalpur,179,1273.74,227,2634.36,0,0,1,3000,0,0
7,2015,6,Madhya Pradesh,Jabalpur,169,1120.3,202,3084.16,0,0,3,3666.67,0,0
7,2016,6,Madhya Pradesh,Jabalpur,225,2900.71,237,3489.45,0,0,0,0,0,0
7,2017,6,Madhya Pradesh,Jabalpur,210.2,2503.19,300.7,3449.05,0.16,875,3.37,529.97,0,0
8,1966,6,Madhya Pradesh,Balaghat,211,464.45,15,333.33,0,0,1.4,4571.43,0,0
8,1967,6,Madhya Pradesh,Balaghat,213,924.88,16,187.5,0,0,1.7,4647.06,0,0
8,1968,6,Madhya Pradesh,Balaghat,217.4,864.77,14.5,413.79,0,0,2.4,4750,0,0
8,1969,6,Madhya Pradesh,Balaghat,219.1,1006.85,14.7,306.12,0.1,0,2.3,4869.57,0,0
8,1970,6,Madhya Pradesh,Balaghat,220.6,1073.89,14.5,468.97,0.1,0,2.1,4714.29,0,0
8,1971,6,Madhya Pradesh,Balaghat,222.5,1189.66,14.9,375.84,0.1,0,2,4850,0,0
8,1972,6,Madhya Pradesh,Balaghat,223.3,621.14,14.9,335.57,0.1,0,2,4850,0,0
8,1973,6,Madhya Pradesh,Balaghat,222.6,887.24,17.2,383.72,0.1,0,2.1,4714.29,0,0
8,1974,6,Madhya Pradesh,Balaghat,221.8,496.84,18.1,414.36,0.1,0,2.2,4545.45,0,0
8,1975,6,Madhya Pradesh,Balaghat,220.6,1027.2,25,404,0,0,2.4,4791.67,0,0
8,1976,6,Madhya Pradesh,Balaghat,223,868.16,19.7,279.19,0,0,2.5,4600,0,0
8,1977,6,Madhya Pradesh,Balaghat,227.3,1241.97,21.2,400.94,0,0,2.7,4555.56,0,0
8,1978,6,Madhya Pradesh,Balaghat,226.3,1000.44,21.6,467.59,0,0,2.4,4541.67,0,0
8,1979,6,Madhya Pradesh,Balaghat,220.7,447.67,12.8,406.25,0,0,2,3400,0,0
8,1980,6,Madhya Pradesh,Balaghat,225.7,1404.08,18,816.67,0,0,1.5,4333.33,0,0
8,1981,6,Madhya Pradesh,Balaghat,228,1237.72,19,826.32,0,0,1.7,4588.24,0,0
8,1982,6,Madhya Pradesh,Balaghat,225.1,1015.99,18,677.78,0,0,1.4,4428.57,0,0
8,1983,6,Madhya Pradesh,Balaghat,228.2,1227.87,20.2,356.44,0,0,1.6,4875,0,0
8,1984,6,Madhya Pradesh,Balaghat,229.7,673.49,15.1,470.2,0,0,1.1,4727.27,0,0
8,1985,6,Madhya Pradesh,Balaghat,230.6,1318.3,20.3,300.49,0.1,1000,1.1,4818.18,0,0
8,1986,6,Madhya Pradesh,Balaghat,233,1004.29,21,1000,0,0,1.1,4818.18,0,0
8,1987,6,Madhya Pradesh,Balaghat,203,1009.85,22,590.91,0,0,2.3,4521.74,0,0
8,1988,6,Madhya Pradesh,Balaghat,235.1,1525.31,22.5,737.78,0.1,1000,1.5,4200,0,0
8,1989,6,Madhya Pradesh,Balaghat,232.4,940.19,22.9,812.23,0.1,0,1.5,4466.67,0,0
8,1990,6,Madhya Pradesh,Balaghat,236.3,1257.3,23.8,953.78,0,0,1.45,3655.17,0,0
8,1991,6,Madhya Pradesh,Balaghat,236.2,1009.31,18.8,622.34,0.1,1000,1.63,4110.43,0,0
8,1992,6,Madhya Pradesh,Balaghat,237.3,1110.83,19.1,706.81,0.1,1000,1.14,4122.81,0,0
8,1993,6,Madhya Pradesh,Balaghat,241.6,1240.48,22.6,862.83,0,0,1.32,4545.45,0,0
8,1994,6,Madhya Pradesh,Balaghat,243.7,936.81,26.7,928.84,0.1,1000,1.4,3571.43,0,0
8,1995,6,Madhya Pradesh,Balaghat,243.3,1216.19,25.2,876.98,0.1,1000,0.5,3800,0,0
8,1996,6,Madhya Pradesh,Balaghat,235.9,1039.85,15.6,916.67,0.1,1000,2,3550,0,0
8,1997,6,Madhya Pradesh,Balaghat,243.9,1056.58,13.1,496.18,0.1,2000,0.48,3750,0,0
8,1998,6,Madhya Pradesh,Balaghat,240.1,1246.98,19.1,738.22,0.1,1000,0.9,4111.11,0,0
8,1999,6,Madhya Pradesh,Balaghat,249.7,1334.8,18.5,1005.41,0.2,1000,1.3,4461.54,0,0
8,2000,6,Madhya Pradesh,Balaghat,246.6,849.15,14,700,0.1,2000,0.9,4111.11,0,0
8,2001,6,Madhya Pradesh,Balaghat,249.5,1435.67,16,912.5,0.1,1000,1,3900,0,0
8,2002,6,Madhya Pradesh,Balaghat,247.5,839.6,16.6,1060.24,0.3,666.67,0.8,4500,0,0
8,2003,6,Madhya Pradesh,Balaghat,252.1,1469.26,16.3,1067.48,0.2,1000,1.2,4000,0,0
8,2004,6,Madhya Pradesh,Balaghat,224.8,1096.49,11.34,696.65,0.09,1333.33,1.57,1923.57,0,0
8,2005,6,Madhya Pradesh,Balaghat,248.7,1468.76,16.58,955.37,0.42,1023.81,1.65,2303.03,0,0
8,2006,6,Madhya Pradesh,Balaghat,248.65,1203.86,15.05,759.47,0.44,863.64,1.73,1618.5,0,0
8,2007,6,Madhya Pradesh,Balaghat,249.8,935.83,14.7,897.96,0.4,1000,1,4100,0,0
8,2008,6,Madhya Pradesh,Balaghat,249.8,726.86,15.1,814.57,0.5,1000,0.8,4875,0,0
8,2009,6,Madhya Pradesh,Balaghat,247.8,1364.81,14.7,1326.53,0.8,875,0.9,5111.11,0,0
8,2010,6,Madhya Pradesh,Balaghat,247.9,1423.96,15.1,1516.56,0.8,1375,0.7,5142.86,0,0
8,2011,6,Madhya Pradesh,Balaghat,246.7,1362.79,22.7,1312.78,0,0,1.5,3666.67,0,0
