Dist_Code,Year,State_Code,State_Name,Dist_Name,RICE_AREA__1000_ha_,RICE_YIELD__Kg_per_ha_,WHEAT_AREA__1000_ha_,WHEAT_YIELD__Kg_per_ha_,GROUNDNUT_AREA__1000_ha_,GROUNDNUT_YIELD__Kg_per_ha_,SUGARCANE_AREA__1000_ha_,SUGARCANE_YIELD__Kg_per_ha_,COTTON_AREA__1000_ha_,COTTON_YIELD__Kg_per_ha_,RICE_IRRIGATED_AREA__1000_ha_,WHEAT_IRRIGATED_AREA__1000_ha_,GROUNDNUT_IRRIGATED_AREA__1000_ha_,SUGARCANE_IRRIGATED_AREA__1000_ha_,COTTON_IRRIGATED_AREA__1000_ha_,TOTAL_KHARIF_FERT_CONSUMPTION__tons_perha,TOTAL_RABI_CONSUMPTION__tons_perha,Prec_Rabiavg,Prec_Kharifavg,Temp_Rabiavg,Temp_Kharifavg
7,1984,6,Madhya Pradesh,Jabalpur,125.9,342.34,159.5,784.33,0,0,0.2,2000,0,0,10.2,28.8,0,0.2,0,,,,,,
7,1985,6,Madhya Pradesh,Jabalpur,133.6,761.98,183.4,704.47,0,0,0.1,3000,0,0,10.4,31.2,0,0.2,0,,,,,,
7,1986,6,Madhya Pradesh,Jabalpur,127,188.98,121,661.16,0,0,0.1,2000,0,0,8.2,26.8,0,0.2,0,,,,,,
7,1987,6,Madhya Pradesh,Jabalpur,113,601.77,156,935.9,0,0,0.1,3000,0,0,8.3,39.6,0,0.2,0,,,,,,
7,1988,6,Madhya Pradesh,Jabalpur,132,596.97,154.8,1043.28,0,0,0.1,2000,0,0,10.9,39.5,0,0.1,0,,,,,,
7,1989,6,Madhya Pradesh,Jabalpur,126,467.46,127.4,893.25,0,0,0.1,3000,0,0,9.2,39.6,0,0.1,0,,,,,,
7,1990,6,Madhya Pradesh,Jabalpur,135.5,825.09,166.3,1009.62,0,0,0.07,2857.14,0,0,4.05,54.72,-1,-1,-1,4856,13221,,,,
7,1991,6,Madhya Pradesh,Jabalpur,138.4,541.91,143.5,933.8,0,0,0.09,2222.22,0,0,11.04,60.74,-1,-1,-1,5926,13237,,,,
7,1992,6,Madhya Pradesh,Jabalpur,144.8,658.84,161.2,1209.06,0,0,0.07,1428.57,0,0,12.13,74.58,-1,-1,-1,5926,13237,,,,
7,1993,6,Madhya Pradesh,Jabalpur,147.3,680.24,170.7,1173.99,0,0,0.06,1666.67,0,0,10.98,84.68,-1,-1,-1,7051,13320,,,,
7,1994,6,Madhya Pradesh,Jabalpur,149,758.39,165.6,1301.33,0,0,0.1,1000,0,0,9.86,84.89,-1,-1,-1,8988,14616,,,,
7,1995,6,Madhya Pradesh,Jabalpur,152.4,738.85,149.3,1219.02,0,0,0,0,0,0,10.8,80.76,-1,-1,-1,8988,14616,,,,
7,1996,6,Madhya Pradesh,Jabalpur,153.2,563.32,144.2,1154.65,0,0,0.1,1000,0,0,12,90.62,-1,-1,-1,8988,14616,,,,
7,1997,6,Madhya Pradesh,Jabalpur,161.8,532.76,185.8,910.12,0,0,0.08,2500,0,0,8.82,87.79,-1,-1,-1,6500,19465,,,,
7,1998,6,Madhya Pradesh,Jabalpur,56.1,513.37,186.34,732.53,0.1,1000,0.14,1285.71,0,0,18.61,100.39,0,0.17,0,-1,-1,,,,
7,1999,6,Madhya Pradesh,Jabalpur,164.7,1052.82,188.5,1344.3,0.2,1000,0.1,2000,0,0,10.59,107.13,0,0.19,0,-1,-1,,,,
7,2000,6,Madhya Pradesh,Jabalpur,164.3,438.22,154.3,1269.6,0.1,1000,0.1,3000,0,0,11.77,100.37,0,0.26,0,8015,14146,,,,
7,2001,6,Madhya Pradesh,Jabalpur,172.7,839.03,159.1,1385.92,0.1,1000,0.1,4000,0,0,13.24,104.06,0,0.34,0,9110,16463,,,,
7,2002,6,Madhya Pradesh,Jabalpur,170.1,567.31,148.9,1141.71,0.1,1000,0.2,2500,0,0,19.62,99.37,0,0.35,0,7297,22541,,,,
7,2003,6,Madhya Pradesh,Jabalpur,178.2,978.11,157.2,1534.35,0.1,1000,0.1,4000,0,0,13.25,105.84,0,0.34,0,9504,26395,,,,
7,2004,6,Madhya Pradesh,Jabalpur,180.52,901.95,156.45,1480.92,0.12,1500,0.39,1692.31,0,0,13.73,108.65,0,0.38,0,11419,27068,,,,
7,2005,6,Madhya Pradesh,Jabalpur,168.96,863.52,156.55,1633.09,0.11,1272.73,0.98,1224.49,0,0,12.63,112.03,0,0.96,0,7304,26412,,,,
7,2006,6,Madhya Pradesh,Jabalpur,173.4,598.1,144.1,1570.78,0.11,1000,1.82,1098.9,0,0,14.15,104.7,0,1.8,0,18825,27082,,,,
7,2007,6,Madhya Pradesh,Jabalpur,153.8,347.98,130.4,1274.54,0.1,1000,1.2,2416.67,0,0,13.48,100.25,0,1.66,0,14535,32236,,,,
7,2008,6,Madhya Pradesh,Jabalpur,173.3,598.33,157.7,1558.66,0.1,1000,0.5,2600,0,0,16.61,125.23,0,1.19,0,24865,34691,,,,
7,2009,6,Madhya Pradesh,Jabalpur,135.2,582.84,162,1416.05,0.1,1000,0.7,2571.43,0,0,9.75,132.87,0,1.1,0,22412,45240,,,,
7,2010,6,Madhya Pradesh,Jabalpur,151.1,1025.81,162.7,2086.66,0,0,0.4,2750,0,0,17.69,136.77,0,1.14,0,26597,50774,,,,
7,2011,6,Madhya Pradesh,Jabalpur,157.6,1297.59,166,2298.8,0.1,1000,0.5,2600,0,0,21.46,158.43,0.11,0.97,0,31917,38747,,,,
7,2012,6,Madhya Pradesh,Jabalpur,182.13,1608.25,201.13,2779.79,0.18,2055.56,0.23,2956.52,0,0,46.7,180.3,0,1.13,0,37396,43666,,,,
7,2013,6,Madhya Pradesh,Jabalpur,188.69,1931,218.66,2500.64,0.19,1631.58,0.9,3077.78,0,0,45.11,204.71,0,1.51,0,27373,53654,,,,
7,2014,6,Madhya Pradesh,Jabalpur,179,1273.74,227,2634.36,0,0,1,3000,0,0,57.2,228.05,0,2.17,0,27674,42746,,,,
7,2015,6,Madhya Pradesh,Jabalpur,169,1120.3,202,3084.16,0,0,3,3666.67,0,0,68.11,226.5,0,2.62,0,29104,53238,,,,
