YEAR,LAT,LON,Temp_Raviavg,Temp_Kharifavg
1984,10,68.125,0.604,0.552
1984,10,68.75,0.622,0.568
1984,10,69.375,0.616,0.572
1984,10,70,0.596,0.572
1984,10,70.625,0.596,0.554
1984,10,71.25,0.604,0.544
1984,10,71.875,0.63,0.548
1984,10,72.5,0.678,0.552
1984,10,73.125,0.676,0.582
1984,10,73.75,0.686,0.584
1984,10,74.375,0.684,0.578
1984,10,75,0.754,0.592
1984,10,75.625,1.098,0.598
1984,10,76.25,6.41,3.306
1984,10,76.875,9.248,5.412
1984,10,77.5,9.406,8.906
1984,10.5,68.125,0.598,0.566
1984,10.5,68.75,0.612,0.56
1984,10.5,69.375,0.62,0.56
1984,10.5,70,0.608,0.552
1984,10.5,70.625,0.6,0.538
1984,10.5,71.25,0.606,0.536
1984,10.5,71.875,0.618,0.528
1984,10.5,72.5,0.646,0.55
1984,10.5,73.125,0.672,0.596
1984,10.5,73.75,0.692,0.608
1984,10.5,74.375,0.726,0.608
1984,10.5,75,0.84,0.612
1984,10.5,75.625,2.344,0.992
1984,10.5,76.25,9.114,4.52
1984,10.5,76.875,10.668,6.402
1984,10.5,77.5,10.374,9.206
1984,11,68.125,0.566,0.574
1984,11,68.75,0.586,0.538
1984,11,69.375,0.576,0.534
1984,11,70,0.592,0.534
1984,11,70.625,0.596,0.528
1984,11,71.25,0.6,0.532
1984,11,71.875,0.612,0.532
1984,11,72.5,0.62,0.546
1984,11,73.125,0.646,0.566
1984,11,73.75,0.678,0.594
1984,11,74.375,0.764,0.612
1984,11,75,0.894,0.622
1984,11,75.625,4.524,1.992
1984,11,76.25,10.206,5.124
1984,11,76.875,11.374,7.722
1984,11,77.5,11.658,9.964
1984,11.5,68.125,0.544,0.528
1984,11.5,68.75,0.564,0.506
1984,11.5,69.375,0.56,0.52
1984,11.5,70,0.58,0.532
1984,11.5,70.625,0.596,0.516
1984,11.5,71.25,0.596,0.518
1984,11.5,71.875,0.602,0.538
1984,11.5,72.5,0.612,0.548
1984,11.5,73.125,0.622,0.542
1984,11.5,73.75,0.668,0.58
1984,11.5,74.375,0.778,0.604
1984,11.5,75,1.232,0.724
1984,11.5,75.625,7,3.174
1984,11.5,76.25,11.112,5.63
1984,11.5,76.875,11.832,8.448
1984,11.5,77.5,12.008,10.482
1984,12,68.125,0.548,0.524
1984,12,68.75,0.566,0.506
1984,12,69.375,0.558,0.514
1984,12,70,0.566,0.514
1984,12,70.625,0.574,0.522
1984,12,71.25,0.582,0.52
1984,12,71.875,0.59,0.536
1984,12,72.5,0.602,0.552
1984,12,73.125,0.626,0.56
1984,12,73.75,0.668,0.598
1984,12,74.375,0.774,0.62
1984,12,75,3.334,1.46
1984,12,75.625,9.58,4.38
1984,12,76.25,12.162,6.414
1984,12,76.875,12.972,8.892
1984,12,77.5,12.072,10.144
1984,12.5,68.125,0.54,0.522
1984,12.5,68.75,0.564,0.522
1984,12.5,69.375,0.566,0.512
1984,12.5,70,0.564,0.512
1984,12.5,70.625,0.562,0.524
1984,12.5,71.25,0.572,0.516
1984,12.5,71.875,0.586,0.52
1984,12.5,72.5,0.592,0.556
1984,12.5,73.125,0.616,0.598
1984,12.5,73.75,0.672,0.6
1984,12.5,74.375,0.976,0.66
1984,12.5,75,6.232,2.556
1984,12.5,75.625,11.45,5.252
1984,12.5,76.25,12.62,6.992
1984,12.5,76.875,13.822,9.498
1984,12.5,77.5,13.028,10.17
1984,13,68.125,0.544,0.496
1984,13,68.75,0.558,0.488
1984,13,69.375,0.57,0.484
1984,13,70,0.56,0.488
1984,13,70.625,0.554,0.498
1984,13,71.25,0.56,0.494
1984,13,71.875,0.578,0.5
1984,13,72.5,0.58,0.55
1984,13,73.125,0.608,0.616
1984,13,73.75,0.706,0.602
1984,13,74.375,1.876,0.882
1984,13,75,8.112,3.41
1984,13,75.625,11.898,5.632
1984,13,76.25,13.274,7.37
1984,13,76.875,14.258,9.642
1984,13,77.5,13.518,10.042
1984,13.5,68.125,0.556,0.46
1984,13.5,68.75,0.568,0.476
1984,13.5,69.375,0.586,0.46
1984,13.5,70,0.578,0.47
1984,13.5,70.625,0.56,0.478
1984,13.5,71.25,0.55,0.478
1984,13.5,71.875,0.564,0.506
1984,13.5,72.5,0.578,0.544
1984,13.5,73.125,0.6,0.592
1984,13.5,73.75,0.764,0.618
1984,13.5,74.375,3.04,1.252
1984,13.5,75,8.958,3.934
1984,13.5,75.625,11.382,5.886
1984,13.5,76.25,13.848,8.314
1984,13.5,76.875,14.404,9.936
1984,13.5,77.5,13.782,10.246
1984,14,68.125,0.57,0.466
1984,14,68.75,0.586,0.476
1984,14,69.375,0.602,0.46
1984,14,70,0.592,0.46
1984,14,70.625,0.58,0.468
1984,14,71.25,0.558,0.482
1984,14,71.875,0.546,0.518
1984,14,72.5,0.55,0.544
1984,14,73.125,0.6,0.594
1984,14,73.75,0.85,0.616
1984,14,74.375,4.198,1.766
1984,14,75,10.86,4.898
1984,14,75.625,13.284,6.474
1984,14,76.25,14.398,8.518
1984,14,76.875,14.438,9.888
1984,14,77.5,14.028,10.362
1984,14.5,68.125,0.604,0.468
1984,14.5,68.75,0.608,0.464
1984,14.5,69.375,0.614,0.458
1984,14.5,70,0.61,0.46
1984,14.5,70.625,0.592,0.482
1984,14.5,71.25,0.564,0.484
1984,14.5,71.875,0.542,0.506
1984,14.5,72.5,0.562,0.538
1984,14.5,73.125,0.64,0.588
1984,14.5,73.75,1.396,0.682
1984,14.5,74.375,7.454,2.956
1984,14.5,75,13.602,5.926
1984,14.5,75.625,14.612,7.234
1984,14.5,76.25,14.688,8.908
1984,14.5,76.875,14.49,9.998
1984,14.5,77.5,14.368,10.488
1984,15,68.125,0.626,0.442
1984,15,68.75,0.624,0.442
1984,15,69.375,0.624,0.444
1984,15,70,0.612,0.456
1984,15,70.625,0.59,0.47
1984,15,71.25,0.56,0.472
1984,15,71.875,0.55,0.5
1984,15,72.5,0.578,0.556
1984,15,73.125,0.738,0.584
1984,15,73.75,2.958,1.134
1984,15,74.375,11.574,4.812
1984,15,75,14.208,6.716
1984,15,75.625,14.918,8.472
1984,15,76.25,14.138,8.986
1984,15,76.875,14.734,9.988
1984,15,77.5,14.71,10.39
1984,15.5,68.125,0.646,0.43
1984,15.5,68.75,0.65,0.426
1984,15.5,69.375,0.638,0.43
1984,15.5,70,0.624,0.452
1984,15.5,70.625,0.604,0.474
1984,15.5,71.25,0.57,0.484
1984,15.5,71.875,0.566,0.496
1984,15.5,72.5,0.67,0.558
1984,15.5,73.125,1.096,0.582
1984,15.5,73.75,6.602,2.204
1984,15.5,74.375,14.618,5.538
1984,15.5,75,15.292,7.242
1984,15.5,75.625,15.21,8.968
1984,15.5,76.25,14.906,9.692
1984,15.5,76.875,15.266,10.216
1984,15.5,77.5,15.034,10.14
1984,16,68.125,0.678,0.448
1984,16,68.75,0.668,0.436
1984,16,69.375,0.636,0.426
1984,16,70,0.62,0.446
1984,16,70.625,0.612,0.472
1984,16,71.25,0.59,0.512
1984,16,71.875,0.586,0.516
1984,16,72.5,0.82,0.586
1984,16,73.125,2.088,0.67
1984,16,73.75,12.628,4.07
1984,16,74.375,15.506,5.922
1984,16,75,15.658,7.904
1984,16,75.625,15.416,9.4
1984,16,76.25,15.236,9.868
1984,16,76.875,15.394,10.212
1984,16,77.5,15.36,10.108
1984,6,68.125,0.652,0.57
1984,6,68.75,0.646,0.562
1984,6,69.375,0.662,0.554
1984,6,70,0.646,0.546
1984,6,70.625,0.636,0.54
1984,6,71.25,0.644,0.544
1984,6,71.875,0.684,0.54
1984,6,72.5,0.714,0.53
1984,6,73.125,0.702,0.512
1984,6,73.75,0.688,0.512
1984,6,74.375,0.69,0.514
1984,6,75,0.69,0.504
1984,6,75.625,0.696,0.5
1984,6,76.25,0.694,0.484
1984,6,76.875,0.702,0.47
1984,6,77.5,0.702,0.462
1984,6.5,68.125,0.636,0.57
1984,6.5,68.75,0.662,0.564
1984,6.5,69.375,0.654,0.554
1984,6.5,70,0.652,0.548
1984,6.5,70.625,0.648,0.534
1984,6.5,71.25,0.658,0.544
1984,6.5,71.875,0.674,0.536
1984,6.5,72.5,0.7,0.528
1984,6.5,73.125,0.688,0.516
1984,6.5,73.75,0.696,0.518
1984,6.5,74.375,0.72,0.496
1984,6.5,75,0.7,0.502
1984,6.5,75.625,0.708,0.498
1984,6.5,76.25,0.72,0.472
1984,6.5,76.875,0.724,0.468
1984,6.5,77.5,0.712,0.46
1984,7,68.125,0.614,0.56
1984,7,68.75,0.666,0.564
1984,7,69.375,0.648,0.564
1984,7,70,0.634,0.564
1984,7,70.625,0.638,0.542
1984,7,71.25,0.646,0.544
1984,7,71.875,0.672,0.536
1984,7,72.5,0.676,0.538
1984,7,73.125,0.692,0.544
1984,7,73.75,0.708,0.53
1984,7,74.375,0.73,0.506
1984,7,75,0.718,0.508
1984,7,75.625,0.716,0.506
1984,7,76.25,0.77,0.49
1984,7,76.875,0.8,0.47
1984,7,77.5,0.774,0.474
1984,7.5,68.125,0.596,0.54
1984,7.5,68.75,0.642,0.542
1984,7.5,69.375,0.646,0.554
